,date,likes,reposts,views,comments,attachments,text
191925,1712761380,429,66,9057,0,1,"10 апреля, Лев"
191923,1712757780,328,67,6816,0,1,"10 апреля, Дева"
191922,1712754180,528,132,10388,0,1,"10 апреля, Весы"
191918,1712750580,401,67,11774,0,1,"10 апреля, Скорпион"
191907,1712746980,247,42,9557,0,1,"10 апреля, Стрелец"
191898,1712743380,296,44,6782,7,1,"10 апреля, Козерог"
191892,1712739782,1329,271,20277,2,1,10 апреля Водолей
191879,1712736935,166,48,5705,1,1,"10 апреля, Рыбы"
191844,1712689380,1391,132,22526,17,1,"10 апреля, Овен"
191836,1712685780,1229,192,19663,3,1,"10 апреля, Телец"
191833,1712682180,1471,290,26573,8,1,"10 апреля, Близнецы"
191828,1712678580,368,98,10299,2,1,"10 апреля, Рак"
191825,1712674980,232,64,9014,2,1,"10 апреля, Лев"
191821,1712671380,332,79,8408,4,1,"10 апреля, Дева"
191816,1712667781,585,81,12787,5,1,"10 апреля, Весы"
191814,1712664180,1277,208,18032,2,1,"10 апреля, Скорпион"
191811,1712660580,212,60,8036,0,1,"10 апреля, Стрелец"
191810,1712656980,411,84,10274,1,1,"10 апреля, Козерог"
191808,1712653380,716,91,10722,3,1,10 апреля Водолей
191804,1712649780,533,107,9033,3,1,"10 апреля, Рыбы"
191785,1712606580,1549,211,20151,2,1,"9 апреля, Овен"
191782,1712602980,522,95,11921,1,1,"9 апреля, Телец"
191778,1712599380,362,83,12256,0,1,"9 апреля, Близнецы"
191777,1712595780,359,67,11917,0,1,"9 апреля, Рак"
191774,1712592180,518,62,9080,0,1,"9 апреля, Лев"
191771,1712588580,809,141,13215,1,1,"9 апреля, Дева"
191767,1712584980,847,123,13407,7,1,"9 апреля, Весы"
191765,1712581380,282,69,7081,0,1,"9 апреля, Скорпион"
191761,1712577780,491,92,10319,2,1,"9 апреля, Стрелец"
191758,1712576160,441,99,7827,0,1,9 апреля Водолей
191756,1712574180,379,71,8379,3,1,"9 апреля, Козерог"
191744,1712572633,17793,3643,236081,109,1,"9 апреля, Рыбы"
191709,1712512980,509,135,11255,1,1,"8 апреля, Овен"
191705,1712509380,374,122,10054,1,1,"8 апреля, Телец"
191703,1712505780,393,79,9165,0,1,"8 апреля, Близнецы"
191701,1712502180,1594,286,24357,4,1,"8 апреля, Рак"
191697,1712498580,607,98,13444,2,1,"8 апреля, Лев"
191692,1712494980,488,101,11312,3,1,"8 апреля, Дева"
191689,1712491380,383,98,8436,1,1,"8 апреля, Весы"
191686,1712487780,672,162,13147,6,1,"8 апреля, Скорпион"
191680,1712484180,558,113,10137,2,1,"8 апреля, Стрелец"
191679,1712480580,513,225,14087,1,1,"8 апреля, Козерог"
191677,1712476980,537,67,12685,1,1,8 апреля Водолей
191676,1712473380,331,50,7550,2,1,"8 апреля, Рыбы"
191671,1712430180,773,126,13506,3,1,"7 апреля, Овен"
191666,1712426580,240,65,9393,0,1,"7 апреля, Телец"
191665,1712422980,253,70,9348,1,1,"7 апреля, Близнецы"
191661,1712419380,232,51,7123,1,1,"7 апреля, Рак"
191660,1712415780,463,108,8758,0,1,"7 апреля, Лев"
191655,1712412180,1203,227,17470,7,1,"7 апреля, Дева"
191653,1712408580,433,62,7731,1,1,"7 апреля, Весы"
191650,1712404980,462,49,7838,2,1,"7 апреля, Скорпион"
191646,1712401380,219,35,5773,1,1,"7 апреля, Стрелец"
191643,1712397780,425,110,8944,4,1,"7 апреля, Козерог"
191638,1712394180,289,50,7510,0,1,7 апреля Водолей
191636,1712390580,166,42,5815,0,1,"7 апреля, Рыбы"
191625,1712343780,1838,188,35589,3,1,"6 апреля, Овен"
191620,1712340180,666,60,14389,2,1,"6 апреля, Телец"
191616,1712336581,369,81,12313,4,1,"6 апреля, Близнецы"
191614,1712332980,327,109,9475,1,1,"6 апреля, Рак"
191612,1712329380,780,171,15770,2,1,"6 апреля, Лев"
191609,1712325780,762,134,10654,7,1,"6 апреля, Дева"
191605,1712322180,866,82,14162,3,1,"6 апреля, Весы"
191604,1712318580,456,61,12310,0,1,"6 апреля, Скорпион"
191602,1712314980,279,59,7225,0,1,"6 апреля, Стрелец"
191598,1712311380,534,101,11105,1,1,"6 апреля, Козерог"
191590,1712307780,1127,219,15833,0,1,6 апреля Водолей
191586,1712304180,631,88,10281,1,1,"6 апреля, Рыбы"
191539,1712253780,552,87,11859,4,1,"5 апреля, Овен"
191537,1712250180,432,59,8227,0,1,"5 апреля, Телец"
191535,1712246580,230,62,8184,0,1,"5 апреля, Близнецы"
191531,1712242980,669,126,17545,5,1,"5 апреля, Рак"
191529,1712239380,426,130,9628,2,1,"5 апреля, Лев"
191525,1712235780,786,127,14567,2,1,"5 апреля, Дева"
191520,1712232180,534,100,9822,1,1,"5 апреля, Весы"
191516,1712228580,356,81,8521,6,1,"5 апреля, Скорпион"
191512,1712224980,305,44,7286,1,1,"5 апреля, Стрелец"
191505,1712221380,354,64,14335,5,1,"5 апреля, Козерог"
191501,1712217780,161,88,10685,7,1,5 апреля Водолей
191498,1712214180,376,94,8176,1,1,"5 апреля, Рыбы"
191473,1712170980,2445,288,38084,7,1,"4 апреля, Овен"
191469,1712167380,818,213,19242,2,1,"4 апреля, Телец"
191466,1712163780,273,72,12140,2,1,"4 апреля, Близнецы"
191461,1712160180,844,168,15991,5,1,"4 апреля, Рак"
191459,1712156580,1018,145,25989,3,1,"4 апреля, Лев"
191455,1712152980,337,88,8199,0,1,"4 апреля, Дева"
191446,1712149380,230,43,7571,0,1,"4 апреля, Весы"
191445,1712145780,222,96,8236,1,1,"4 апреля, Скорпион"
191444,1712142180,967,141,16916,0,1,"4 апреля, Стрелец"
191440,1712138582,228,55,12435,3,1,"4 апреля, Козерог"
191434,1712134980,2047,354,33981,12,1,4 апреля Водолей
191431,1712131380,408,91,12612,3,1,"4 апреля, Рыбы"
191403,1712084580,397,58,12067,6,1,"3 апреля, Овен"
191402,1712080980,921,77,16454,2,1,"3 апреля, Телец"
191401,1712077380,409,171,11670,2,1,"3 апреля, Близнецы"
191394,1712073780,12170,2848,178839,40,1,"3 апреля, Рак"
191389,1712070180,490,83,10415,4,1,"3 апреля, Лев"
191387,1712066580,804,131,14032,6,1,"3 апреля, Дева"
191386,1712062980,1013,278,26636,12,1,"3 апреля, Весы"
191383,1712059380,384,107,9294,5,1,"3 апреля, Скорпион"
191381,1712055780,267,79,7764,2,1,"3 апреля, Стрелец"
191374,1712052180,376,94,9696,2,1,"3 апреля, Козерог"
191370,1712048580,289,92,9181,1,1,3 апреля Водолей
191364,1712044980,438,58,8873,2,1,"3 апреля, Рыбы"
191345,1711998180,2268,561,39008,9,1,"2 апреля, Овен"
191342,1711994580,438,284,23659,9,1,"2 апреля, Телец"
191341,1711990980,478,95,12107,0,1,"2 апреля, Близнецы"
191339,1711987380,787,122,15664,2,1,"2 апреля, Рак"
191335,1711983781,304,111,10152,0,1,"2 апреля, Лев"
191330,1711980180,496,122,9971,0,1,"2 апреля, Дева"
191327,1711976580,504,103,11832,1,1,"2 апреля, Весы"
191325,1711972980,949,208,20186,8,1,"2 апреля, Скорпион"
191322,1711969380,312,63,15574,2,1,"2 апреля, Стрелец"
191318,1711965780,471,154,9969,1,1,"2 апреля, Козерог"
191310,1711962960,707,301,16948,5,1,2 апреля Водолей
191285,1711959380,440,129,10131,2,1,"2 апреля, Рыбы"
191278,1711908180,738,198,14725,0,1,"1 апреля, Овен"
191275,1711904580,308,66,12141,1,1,"1 апреля, Телец"
191272,1711900980,428,115,11609,0,1,"1 апреля, Близнецы"
191265,1711897380,464,122,10643,3,1,"1 апреля, Рак"
191260,1711893780,474,125,10331,0,1,"1 апреля, Лев"
191255,1711890180,343,108,11859,0,1,"1 апреля, Дева"
191250,1711886580,280,74,12305,2,1,"1 апреля, Весы"
191243,1711882980,1692,505,34699,17,1,"1 апреля, Скорпион"
191241,1711879380,341,73,7863,0,1,"1 апреля, Стрелец"
191239,1711875780,334,81,10024,3,1,"1 апреля, Козерог"
191237,1711872180,1366,155,19277,4,1,1 апреля Водолей
191231,1711868580,1042,157,20771,1,1,"1 апреля, Рыбы"
191213,1711825380,12142,1978,173875,24,1,"31 марта, овен"
191204,1711821780,2283,262,28670,6,1,"31 марта, телец"
191199,1711818180,505,114,13002,3,1,"31 марта, близнецы"
191190,1711814580,1484,121,17510,5,1,"31 марта, рак"
191187,1711810980,418,105,9746,3,1,"31 марта, лев"
191182,1711807380,493,111,9642,5,1,"31 марта, дева"
191178,1711803780,469,96,13979,3,1,"31 марта, весы"
191176,1711800180,1471,249,25410,9,1,"31 марта, скорпион"
191168,1711796580,518,80,9730,5,1,"31 марта, стрелец"
191165,1711792980,1039,80,17058,8,1,"31 марта, козерог"
191163,1711789380,492,86,11041,2,1,"31 марта, водолей"
191160,1711785780,796,133,13488,2,1,"31 марта, рыбы"
191139,1711735380,3318,249,43305,15,1,"30 марта, овен"
191138,1711731780,379,66,8680,1,1,"30 марта, телец"
191136,1711728180,905,114,14954,8,1,"30 марта, близнецы"
191134,1711724580,688,98,11213,3,1,"30 марта, рак"
191131,1711720980,261,50,6952,0,1,"30 марта, лев"
191129,1711717380,373,95,9084,1,1,"30 марта, дева"
191124,1711713780,356,78,8612,5,1,"30 марта, весы"
191111,1711710180,247,50,8096,0,1,"30 марта, скорпион"
191109,1711706580,484,73,9313,2,1,"30 марта, стрелец"
191106,1711702982,440,74,10855,1,1,"30 марта, козерог"
191099,1711699380,310,118,8229,2,1,"30 марта, водолей"
191096,1711695780,453,124,11408,3,1,"30 марта, рыбы"
191081,1711652580,635,110,12497,3,1,"29 марта, овен"
191073,1711648980,1369,271,20391,9,1,"29 марта, телец"
191066,1711645380,578,111,11984,6,1,"29 марта, близнецы"
191058,1711641780,397,138,9503,1,1,"29 марта, рак"
191053,1711638180,232,58,8470,12,1,"29 марта, лев"
191050,1711634580,260,87,8202,3,1,"29 марта, дева"
191047,1711630980,644,225,18241,4,1,"29 марта, весы"
191044,1711627380,210,76,7947,2,1,"29 марта, скорпион"
191041,1711623780,463,99,8697,0,1,"29 марта, стрелец"
191029,1711620180,503,79,11616,4,1,"29 марта, козерог"
191028,1711616580,954,130,16783,2,1,"29 марта, водолей"
191022,1711612980,779,114,14608,10,1,"29 марта, рыбы"
190962,1711566180,1654,368,31920,9,1,"28 марта, овен"
190957,1711562580,1425,201,18787,10,1,"28 марта, телец"
190953,1711558980,596,186,14752,3,1,"28 марта, близнецы"
190950,1711555380,360,102,11680,6,1,"28 марта, рак"
190931,1711551780,341,125,9683,2,1,"28 марта, лев"
190929,1711548180,1242,210,21116,2,1,"28 марта, дева"
190924,1711544581,370,106,9405,4,1,"28 марта, весы"
190919,1711540980,409,100,14360,10,1,"28 марта, скорпион"
190911,1711537380,1393,243,23054,7,1,"28 марта, стрелец"
190904,1711533780,759,163,17286,9,1,"28 марта, козерог"
190898,1711530181,313,72,11270,4,1,"28 марта, водолей"
190880,1711526858,487,173,11217,5,1,"28 марта, рыбы"
190860,1711479780,772,195,20054,1,1,"27 марта, овен"
190855,1711476180,584,96,12717,3,1,"27 марта, телец"
190853,1711472580,1690,237,26532,3,1,"27 марта, близнецы"
190849,1711468980,277,186,13812,2,1,"27 марта, рак"
190843,1711465380,484,152,12883,4,1,"27 марта, лев"
190840,1711461780,390,180,13055,5,1,"27 марта, дева"
190838,1711458180,109,49,12529,1,1,"27 марта, весы"
190834,1711454580,572,127,12712,3,1,"27 марта, скорпион"
190831,1711450980,475,77,12244,4,1,"27 марта, стрелец"
190816,1711447380,533,68,13472,1,1,"27 марта, козерог"
190811,1711443780,166,84,9878,5,1,"27 марта, водолей"
190794,1711440600,227,63,11618,3,1,"27 марта, рыбы"
190768,1711393380,1964,287,29794,4,1,"26 марта, овен"
190764,1711389780,1219,322,24123,6,1,"26 марта, телец"
190760,1711386180,2434,655,63529,12,1,"26 марта, близнецы"
190758,1711382580,515,127,16004,4,1,"26 марта, рак"
190754,1711378980,363,106,11255,5,1,"26 марта, лев"
190753,1711375380,459,82,10223,1,1,"26 марта, дева"
190751,1711371780,484,145,12443,3,1,"26 марта, весы"
190748,1711368180,797,176,15033,1,1,"26 марта, скорпион"
190745,1711364580,1726,329,31440,8,1,"26 марта, стрелец"
190738,1711360980,2913,488,40168,6,1,"26 марта, козерог"
190735,1711357380,431,77,10831,2,1,"26 марта, водолей"
190733,1711353780,513,106,12518,3,1,"26 марта, рыбы"
190704,1711321380,4361,629,59106,11,1,"25 марта, овен"
190700,1711317780,440,145,26689,3,1,"25 марта, телец"
190699,1711314180,685,118,15650,2,1,"25 марта, близнецы"
190697,1711310580,500,121,12051,3,1,"25 марта, рак"
190694,1711306980,780,141,14304,2,1,"25 марта, лев"
190692,1711303380,339,65,10706,2,1,"25 марта, дева"
190685,1711299780,922,129,14382,1,1,"25 марта, весы"
190673,1711296180,375,70,12492,10,1,"25 марта, скорпион"
190670,1711292580,1577,302,25481,10,1,"25 марта, стрелец"
190661,1711288980,271,92,9731,5,1,"25 марта, козерог"
190656,1711287180,348,89,11715,5,1,"25 марта, водолей"
190641,1711284807,273,104,10090,1,1,"25 марта, рыбы"
190615,1711220580,714,119,17673,1,1,"24 марта, овен"
190609,1711216980,19929,1062,265282,38,1,"24 марта, телец"
190608,1711213380,1452,276,26380,5,1,"24 марта, близнецы"
190606,1711209780,1143,176,18801,3,1,"24 марта, рак"
190604,1711206180,385,100,12141,0,1,"24 марта, лев"
190600,1711202580,628,159,12908,2,1,"24 марта, дева"
190595,1711198980,340,69,10413,1,1,"24 марта, весы"
190587,1711195380,2305,452,40733,14,1,"24 марта, скорпион"
190583,1711191780,490,136,11909,7,1,"24 марта, стрелец"
190576,1711188180,760,137,21575,5,1,"24 марта, козерог"
190570,1711184580,591,140,13648,6,1,"24 марта, водолей"
190568,1711180980,1000,235,19707,4,1,"24 марта, рыбы"
190560,1711148580,591,151,16838,0,1,"23 марта, овен"
190557,1711144980,561,102,13203,3,1,"23 марта, телец"
190554,1711141380,394,113,12144,6,1,"23 марта, близнецы"
190551,1711137780,485,152,13203,2,1,"23 марта, рак"
190550,1711134180,381,54,11691,0,1,"23 марта, лев"
190546,1711130580,309,70,10023,3,1,"23 марта, дева"
190536,1711126980,299,68,8700,2,1,"23 марта, весы"
190531,1711123380,491,98,11472,5,1,"23 марта, скорпион"
190527,1711119784,477,82,10322,4,1,"23 марта, стрелец"
190521,1711118100,298,57,8290,4,1,"23 марта, козерог"
190516,1711114500,728,98,14622,0,1,"23 марта, водолей"
190478,1711110934,2663,512,40806,26,1,"23 марта, рыбы"
190430,1711047780,2634,345,39126,9,1,"22 марта, овен"
190426,1711044180,1065,151,18113,3,1,"22 марта, телец"
190423,1711040580,611,138,13404,1,1,"22 марта, близнецы"
190421,1711036980,787,275,19832,3,1,"22 марта, рак"
190413,1711033380,551,113,12382,1,1,"22 марта, лев"
190411,1711029780,4520,697,47799,17,1,"22 марта, дева"
190410,1711026180,457,117,11517,1,1,"22 марта, весы"
190406,1711022580,456,132,11823,4,1,"22 марта, скорпион"
190405,1711018980,633,120,12706,2,1,"22 марта, стрелец"
190400,1711015380,480,157,12553,3,1,"22 марта, козерог"
190396,1711011780,487,148,11264,0,1,"22 марта, водолей"
190390,1711008180,3878,568,49016,7,1,"22 марта, рыбы"
190346,1710961380,2425,353,39403,3,1,"21 марта, овен"
190341,1710957780,3818,696,48126,6,1,"21 марта, телец"
190338,1710954180,576,138,12857,0,1,"21 марта, близнецы"
190332,1710950580,1082,284,21530,23,1,"21 марта, рак"
190325,1710946980,1825,377,42631,29,1,"21 марта, лев"
190321,1710943380,538,136,17557,0,1,"21 марта, дева"
190319,1710939780,536,86,11224,2,1,"21 марта, весы"
190317,1710936180,452,134,12590,1,1,"21 марта, скорпион"
190313,1710932580,449,127,13246,2,1,"21 марта, стрелец"
190306,1710928980,352,137,9440,1,1,"21 марта, козерог"
190302,1710925384,529,133,12007,5,1,"21 марта, водолей"
190287,1710921780,1554,353,26484,6,1,"21 марта, рыбы"
190239,1710874980,720,153,15457,2,1,"20 марта, овен"
190234,1710871380,2585,412,46201,9,1,"20 марта, телец"
190229,1710867780,840,169,15919,1,1,"20 марта, близнецы"
190221,1710864180,542,109,12636,1,1,"20 марта, рак"
190211,1710860580,764,176,14668,1,1,"20 марта, лев"
190204,1710856980,505,174,14278,2,1,"20 марта, дева"
190201,1710853380,854,213,14353,3,1,"20 марта, весы"
190199,1710849780,1645,333,21560,2,1,"20 марта, скорпион"
190192,1710846180,392,136,12059,5,1,"20 марта, стрелец"
190184,1710842580,684,190,14603,11,1,"20 марта, козерог"
190176,1710838980,2414,520,43942,5,1,"20 марта, водолей"
190166,1710835380,1444,249,25514,26,1,"20 марта, рыбы"
190125,1710788580,466,215,15259,2,1,"19 марта, овен"
190124,1710784980,1781,378,31203,5,1,"19 марта, телец"
190121,1710781380,1345,267,25829,2,1,"19 марта, близнецы"
190118,1710777780,379,168,10223,5,1,"19 марта, рак"
190112,1710774180,751,204,17783,4,1,"19 марта, лев"
190104,1710770580,367,108,13087,3,1,"19 марта, дева"
190098,1710766980,225,90,10997,2,1,"19 марта, весы"
190097,1710763380,629,123,12453,2,1,"19 марта, скорпион"
190094,1710759780,434,93,13238,7,1,"19 марта, стрелец"
190088,1710756180,291,133,15043,6,1,"19 марта, козерог"
190083,1710752580,690,144,16636,8,1,"19 марта, водолей"
190069,1710750122,29618,5671,473844,60,1,"19 марта, рыбы"
190044,1710702180,1258,389,26757,8,1,"18 марта, овен"
190035,1710698580,2186,349,31333,1,1,"18 марта, телец"
190031,1710694980,775,203,21433,5,1,"18 марта, близнецы"
